timestamp,tb_cpu,tb_mem_gb,pg_cpu,pg_mem_gb,middts_cpu,middts_mem_gb,host_cpu,host_mem_gb,active_sims
2025-10-02T02:30:42Z,367.80,1.444,0,0,3.35,1.839,77.2,9,10
2025-10-02T02:30:51Z,349.17,1.444,0,0,65.80,1.864,84.1,9,10
2025-10-02T02:31:00Z,429.10,1.444,0,0,17.56,2.289,85.7,10,10
2025-10-02T02:31:09Z,472.71,1.445,0,0,19.08,2.29,83.3,10,10
2025-10-02T02:31:18Z,459.97,1.445,0,0,14.12,2.29,81.2,10,10
2025-10-02T02:31:27Z,464.10,1.445,0,0,17.59,2.29,77.5,10,10
2025-10-02T02:31:36Z,454.22,1.446,0,0,13.98,2.29,81.8,10,10
2025-10-02T02:31:45Z,462.80,1.446,0,0,12.30,2.29,83.9,10,10
2025-10-02T02:31:54Z,424.62,1.446,0,0,17.46,2.291,85.4,10,10
2025-10-02T02:32:03Z,454.15,1.448,0,0,18.38,2.29,85.1,10,10
2025-10-02T02:32:11Z,446.12,1.448,0,0,17.17,2.291,84.2,10,10
2025-10-02T02:32:20Z,429.84,1.449,0,0,16.15,2.291,84.5,10,10
2025-10-02T02:32:29Z,459.41,1.449,0,0,17.16,2.291,83.7,10,10
2025-10-02T02:32:38Z,451.74,1.45,0,0,20.92,2.293,83.3,10,10
2025-10-02T02:32:47Z,430.45,1.45,0,0,21.87,2.291,79.8,10,10
2025-10-02T02:32:56Z,6.77,1.449,0,0,0.28,1.84,4.9,9,10
2025-10-02T02:33:05Z,5.16,1.449,0,0,0.75,1.84,10.2,9,10
2025-10-02T02:33:14Z,4.77,1.449,0,0,0.35,1.84,5.9,9,10
2025-10-02T02:33:23Z,5.22,1.449,0,0,0.36,1.84,2.0,9,10
2025-10-02T02:33:32Z,4.30,1.449,0,0,0.53,1.84,2.9,9,10
2025-10-02T02:33:40Z,4.37,1.449,0,0,1.12,1.84,5.6,9,10
2025-10-02T02:33:49Z,3.72,1.449,0,0,0.46,1.839,3.0,9,10
2025-10-02T02:33:58Z,4.11,1.449,0,0,0.34,1.839,6.9,9,10
2025-10-02T02:34:07Z,4.54,1.448,0,0,0.39,1.839,5.7,9,10
